Date,x
Jan-86,346.11
Feb-86,346.78
Mar-86,347.68
Apr-86,349.37
May-86,350.03
Jun-86,349.37
Jul-86,347.76
Aug-86,345.73
Sep-86,344.68
Oct-86,343.99
Nov-86,345.48
Dec-86,346.72
Jan-87,347.84
Feb-87,348.29
Mar-87,349.23
Apr-87,350.8
May-87,351.66
Jun-87,351.07
Jul-87,349.33
Aug-87,347.92
Sep-87,346.27
Oct-87,346.18
Nov-87,347.64
Dec-87,348.78
Jan-88,350.25
Feb-88,351.54
Mar-88,352.05
Apr-88,353.41
May-88,354.04
Jun-88,353.62
Jul-88,352.22
Aug-88,350.27
Sep-88,348.55
Oct-88,348.72
Nov-88,349.91
Dec-88,351.18
Jan-89,352.6
Feb-89,352.92
Mar-89,353.53
Apr-89,355.26
May-89,355.52
Jun-89,354.97
Jul-89,353.75
Aug-89,351.52
Sep-89,349.64
Oct-89,349.83
Nov-89,351.14
Dec-89,352.37
Jan-90,353.5
Feb-90,354.55
Mar-90,355.23
Apr-90,356.04
May-90,357
Jun-90,356.07
Jul-90,354.67
Aug-90,352.76
Sep-90,350.82
Oct-90,351.04
Nov-90,352.69
Dec-90,354.07
Jan-91,354.59
Feb-91,355.63
Mar-91,357.03
Apr-91,358.48
May-91,359.22
Jun-91,358.12
Jul-91,356.06
Aug-91,353.92
Sep-91,352.05
Oct-91,352.11
Nov-91,353.64
Dec-91,354.89
Jan-92,355.88
Feb-92,356.63
Mar-92,357.72
Apr-92,359.07
May-92,359.58
Jun-92,359.17
Jul-92,356.94
Aug-92,354.92
Sep-92,352.94
Oct-92,353.23
Nov-92,354.09
Dec-92,355.33
Jan-93,356.63
Feb-93,357.1
Mar-93,358.32
Apr-93,359.41
May-93,360.23
Jun-93,359.55
Jul-93,357.53
Aug-93,355.48
Sep-93,353.67
Oct-93,353.95
Nov-93,355.3
Dec-93,356.78
Jan-94,358.34
Feb-94,358.89
Mar-94,359.95
Apr-94,361.25
May-94,361.67
Jun-94,360.94
Jul-94,359.55
Aug-94,357.49
Sep-94,355.84
Oct-94,356
Nov-94,357.59
Dec-94,359.05
Jan-95,359.98
Feb-95,361.03
Mar-95,361.66
Apr-95,363.48
May-95,363.82
Jun-95,363.3
Jul-95,361.94
Aug-95,359.5
Sep-95,358.11
Oct-95,357.8
Nov-95,359.61
Dec-95,360.74
Jan-96,362.09
Feb-96,363.29
Mar-96,364.06
Apr-96,364.76
May-96,365.45
Jun-96,365.01
Jul-96,363.7
Aug-96,361.54
Sep-96,359.51
Oct-96,359.65
Nov-96,360.8
Dec-96,362.38
Jan-97,363.23
Feb-97,364.06
Mar-97,364.61
Apr-97,366.4
May-97,366.84
Jun-97,365.68
Jul-97,364.52
Aug-97,362.57
Sep-97,360.24
Oct-97,360.83
Nov-97,362.49
Dec-97,364.34
